Source,Target
1103586017406259200,@oleitumbi
2619206627,@honmoses_kuria
2619206627,@kwamatangi
2619206627,@honkabogo
442438826,@cynthiakimanyi1
2337261828,@standardkenya
747795756547969024,@cubesandcontainers
199274018,@standardkenya
1042501807866445824,@essyokenyuri
710185989998772224,@makaumutua
1314383330,@williamsruto
1314383330,@railaodinga
1314383330,@citizentvkenya
2246570950,@williamsruto
2246570950,@railaodinga
2246570950,@citizentvkenya
1489507340411936768,@williamsruto
1489507340411936768,@railaodinga
1489507340411936768,@citizentvkenya
133240434,@bkomun
796229131662979072,@oleitumbi
1437880340224385024,@jose_ochyberry
1437880340224385024,@lu_qme
1437880340224385024,@lu_qme
1437880340224385024,@lu_qme
1437880340224385024,@bcherich
1061131176423895040,@williamsruto
1061131176423895040,@railaodinga
1061131176423895040,@citizentvkenya
1061131176423895040,@nationafrica
1061131176423895040,@williamsruto
1061131176423895040,@railaodinga
1061131176423895040,@dci_kenya
1061131176423895040,@williamsruto
1061131176423895040,@oleitumbi
406816463,@wehliyemohamed
406816463,@ahmednasirlaw
980557318566924288,@muriithironny
973888984156987392,@muriithironny
99850898,@muriithironny
3398520663,@oleitumbi
988030423925129216,@tidmaster
259751516,@ababunamwamba
1082421722,@oleitumbi
1527303260800897024,@essyokenyuri
702145297225535488,@marthakarua
1419508312220082176,@vote_hopeke
349808167,@vincentmobe
349808167,@miltonojwang79
349808167,@beaty_ottawa
336375127,@marthakarua
212337086,@udakenya
1481964130210914304,@isaackmutai9
1481964130210914304,@womenruto
130473944,@williamsruto
911181242569302016,@oleitumbi
813764738106748928,@oleitumbi
